Disease,Symptoms,Risk Group,Stage,Prevention
COVID-19,"Sốt, ho, khó thở","Người lớn tuổi, bệnh nhân có bệnh nền",Nhiễm virus cấp tính,"Đeo khẩu trang, rửa tay thường xuyên, tiêm vaccine"
Bệnh tiểu đường,"Khát nước, đi tiểu nhiều, sụt cân, mệt mỏi","Người thừa cân, tiền sử gia đình",Mạn tính,"Duy trì chế độ ăn uống lành mạnh, tập thể dục thường xuyên"
Viêm phổi,"Sốt cao, đau ngực, khó thở, ho có đờm","Người hút thuốc, bệnh nhân có bệnh nền",Nhiễm trùng cấp tính,"Tiêm vaccine phòng phổi, tránh tiếp xúc với người nhiễm bệnh"
Trầm cảm,"Tâm trạng buồn bã kéo dài, mất hứng thú, mất năng lượng",Người có tiền sử gia đình mắc bệnh tâm lý,Rối loạn tâm lý mãn tính,"Duy trì lối sống tích cực, tham gia hoạt động xã hội"
Hen suyễn,"Khò khè, khó thở, tức ngực, ho","Người có tiền sử dị ứng, môi trường ô nhiễm",Mạn tính,"Tránh các tác nhân dị ứng, kiểm soát môi trường sống"
Viêm tụy,"Đau bụng dữ dội, buồn nôn, sốt, tiêu chảy","Người uống rượu, bệnh nhân có sỏi mật",Cấp tính hoặc mãn tính,"Hạn chế rượu bia, điều trị sỏi mật"
Loãng xương,"Xương giòn, dễ gãy, đau lưng, giảm chiều cao","Người cao tuổi, phụ nữ sau mãn kinh",Mãn tính,"Bổ sung canxi, tập thể dục thường xuyên"
Ung thư phổi,"Ho kéo dài, khó thở, đau ngực, ho ra máu","Người hút thuốc, làm việc trong môi trường ô nhiễm",Phát triển nhanh,"Tránh hút thuốc, kiểm tra định kỳ"
Viêm tai giữa,"Đau tai, chảy dịch, sốt, giảm thính lực","Trẻ em, người bị cảm lạnh thường xuyên",Cấp tính hoặc mãn tính,"Giữ vệ sinh tai, tiêm vaccine phòng bệnh"
Viêm xoang,"Nghẹt mũi, đau đầu, mất khứu giác, chảy dịch mũi","Người bị dị ứng, làm việc trong môi trường bụi bẩn",Cấp tính hoặc mãn tính,"Giữ vệ sinh mũi, tránh tiếp xúc với chất gây dị ứng"
Ung thư phổi,"Ho dai dẳng, đau ngực, giảm cân không rõ nguyên nhân","Người hút thuốc, sống trong môi trường ô nhiễm",Mạn tính,"Không hút thuốc, tránh tiếp xúc hóa chất độc hại"
Ung thư dạ dày,"Đau bụng, buồn nôn, giảm cân, chán ăn","Người lớn tuổi, tiền sử gia đình",Mạn tính,"Ăn uống lành mạnh, điều trị H. pylori sớm"
Viêm gan C,"Vàng da, mệt mỏi, đau bụng","Người dùng chung kim tiêm, tiếp xúc máu nhiễm virus",Cấp tính và mạn tính,"Tránh dùng chung kim tiêm, sử dụng thiết bị y tế an toàn"
Loãng xương,"Gãy xương thường xuyên, đau lưng, giảm chiều cao","Người cao tuổi, phụ nữ sau mãn kinh",Mạn tính,"Bổ sung canxi, tập thể dục, tránh rượu bia"
Bệnh Parkinson,"Run tay, cứng cơ, chậm vận động","Người cao tuổi, yếu tố di truyền",Mạn tính,"Tập thể dục, duy trì lối sống lành mạnh"
Hội chứng ruột kích thích (IBS),"Đau bụng, tiêu chảy, táo bón","Người căng thẳng, ăn uống không điều độ",Mạn tính,"Chế độ ăn uống lành mạnh, giảm stress"
Viêm ruột thừa,"Đau bụng dưới bên phải, sốt, buồn nôn",Không xác định rõ,Cấp tính,Không có phương pháp phòng ngừa cụ thể
Sỏi thận,"Đau lưng, tiểu buốt, tiểu ra máu","Người ít uống nước, ăn nhiều muối",Cấp tính và mạn tính,"Uống đủ nước, giảm muối trong chế độ ăn"
Bệnh lupus ban đỏ,"Phát ban, đau khớp, mệt mỏi","Phụ nữ trẻ, tiền sử gia đình",Mạn tính,Không có phương pháp phòng ngừa cụ thể
Ung thư da,"Nốt ruồi bất thường, vùng da thay đổi màu sắc",Người tiếp xúc nhiều với ánh nắng mặt trời,Mạn tính,"Sử dụng kem chống nắng, tránh nắng"
Bệnh viêm gan C,"Mệt mỏi, vàng da, đau bụng, nước tiểu đậm màu","Người sử dụng chung kim tiêm, tiếp xúc máu nhiễm bệnh",Nhiễm trùng mãn tính,"Tránh tiếp xúc với máu, sử dụng dụng cụ vô trùng"
Bệnh viêm đại tràng,"Đau bụng, tiêu chảy, phân có máu, sụt cân","Người có tiền sử gia đình, hút thuốc lá",Viêm cấp tính hoặc mãn tính,"Chế độ ăn uống lành mạnh, tránh căng thẳng"
Bệnh loãng xương,"Đau lưng, giảm chiều cao, dễ gãy xương","Người cao tuổi, phụ nữ mãn kinh",Mất mật độ xương,"Tăng cường canxi, vitamin D, tập thể dục"
Bệnh viêm tụy,"Đau bụng trên, buồn nôn, sụt cân, phân mỡ","Người có tiền sử gia đình, bệnh nhân sỏi mật",Viêm cấp tính hoặc mãn tính,"Tránh rượu bia, duy trì chế độ ăn ít chất béo"
Bệnh Parkinson,"Run, chậm vận động, cứng cơ, mất cân bằng","Người lớn tuổi, yếu tố di truyền",Thoái hóa thần kinh tiến triển,"Tăng cường vận động, duy trì sức khỏe não bộ"
Bệnh lupus ban đỏ,"Phát ban da, đau khớp, mệt mỏi, tổn thương cơ quan","Phụ nữ, người có tiền sử gia đình",Rối loạn miễn dịch mãn tính,"Tránh ánh nắng, kiểm soát căng thẳng"
Bệnh gout,"Đau nhức khớp dữ dội, sưng đỏ, nóng khớp","Người ăn nhiều đạm, uống rượu, béo phì","Viêm cấp tính, tái phát","Hạn chế ăn thực phẩm chứa purine, uống nhiều nước"
Bệnh đau nửa đầu,"Đau đầu dữ dội một bên, nhạy cảm ánh sáng, buồn nôn","Người có tiền sử gia đình, phụ nữ",Rối loạn thần kinh tái phát,"Tránh căng thẳng, ngủ đủ giấc"
Bệnh Alzheimer,"Mất trí nhớ, nhầm lẫn, khó khăn trong giao tiếp","Người lớn tuổi, yếu tố di truyền",Thoái hóa thần kinh tiến triển,"Duy trì hoạt động trí não, ăn uống lành mạnh"
Bệnh động kinh,"Co giật, mất ý thức, rối loạn hành vi tạm thời","Người có tổn thương não, yếu tố di truyền",Rối loạn thần kinh tái phát,"Tránh chấn thương đầu, kiểm soát nguyên nhân"
